g_p,g_r,d,rho,eps,C,mean_train,std_train,mean_test,std_test,time,sv_ratio
0.100,0.010,3,0.2,0.1,1.00,0.842,0.014,0.882,0.068,2.22,0.92
0.010,0.010,1,0.8,0.1,10.00,0.868,0.016,0.888,0.069,1.70,0.91
0.100,0.010,2,0.8,0.1,1.00,0.854,0.014,0.894,0.054,1.56,0.92
0.100,0.010,1,0.8,0.1,10.00,0.873,0.016,0.895,0.070,1.93,0.91
0.100,0.100,1,0.6,0.1,0.10,0.884,0.015,0.901,0.062,1.49,0.92
0.100,0.100,2,0.6,0.1,0.10,0.881,0.010,0.902,0.047,1.51,0.91
0.010,0.100,1,0.4,0.1,0.10,0.888,0.010,0.905,0.045,1.64,0.92
0.100,0.010,3,0.4,0.1,1.00,0.859,0.014,0.912,0.071,2.31,0.92
0.100,0.100,3,0.6,0.1,0.10,0.894,0.015,0.922,0.061,2.24,0.93
0.010,0.100,2,0.4,0.1,0.10,0.904,0.009,0.922,0.044,1.58,0.93
0.010,0.100,3,0.4,0.1,0.10,0.905,0.009,0.924,0.043,2.34,0.93
0.010,0.010,2,0.2,0.1,1.00,0.912,0.016,0.929,0.069,1.48,0.92
0.010,0.010,3,0.2,0.1,1.00,0.920,0.016,0.936,0.069,2.44,0.93
0.010,0.010,1,0.2,0.1,1.00,0.921,0.017,0.937,0.069,1.39,0.93
0.010,0.010,2,0.4,0.1,1.00,0.923,0.016,0.938,0.068,1.50,0.92
0.100,0.010,1,0.2,0.1,1.00,0.927,0.017,0.944,0.070,1.63,0.93
0.010,0.010,2,0.6,0.1,1.00,0.941,0.016,0.955,0.070,1.41,0.92
0.010,0.010,3,0.4,0.1,1.00,0.942,0.016,0.958,0.069,2.39,0.93
0.010,0.010,1,0.4,0.1,1.00,0.942,0.017,0.958,0.068,1.41,0.93
0.100,0.010,1,0.4,0.1,1.00,0.949,0.017,0.966,0.070,1.66,0.93
0.100,0.100,1,0.8,0.1,0.10,0.957,0.015,0.971,0.066,1.57,0.93
0.100,0.010,3,0.6,0.1,1.00,0.917,0.015,0.978,0.076,2.31,0.92
0.010,0.010,1,0.6,0.1,1.00,0.970,0.017,0.985,0.069,1.54,0.93
0.010,0.100,1,0.6,0.1,0.10,0.971,0.011,0.988,0.050,1.43,0.91
0.100,0.010,1,0.6,0.1,1.00,0.972,0.017,0.990,0.070,1.60,0.93
0.010,0.010,3,0.6,0.1,1.00,0.981,0.016,0.994,0.071,2.55,0.93
