g_p,g_r,d,rho,mean_train,std_train,mean_test,std_test,time
0.100,0.100,1,0.0,0.81,0.01,1.16,0.04,10.59
0.100,0.100,1,0.2,0.82,0.01,1.14,0.04,4.44
0.100,0.100,1,0.4,0.85,0.01,1.14,0.04,6.21
0.100,0.100,1,0.6,0.89,0.01,1.14,0.05,9.97
0.100,0.100,1,0.8,0.95,0.01,1.15,0.05,2.97
0.100,0.100,1,1.0,1.89,0.03,1.92,0.11,1.82
0.100,0.100,2,0.0,0.81,0.01,1.16,0.04,2.28
0.100,0.100,2,0.2,0.82,0.01,1.14,0.04,3.51
0.100,0.100,2,0.4,0.85,0.01,1.14,0.04,4.21
0.100,0.100,2,0.6,0.88,0.01,1.15,0.05,5.08
0.100,0.100,2,0.8,0.94,0.01,1.16,0.05,5.90
0.100,0.100,2,1.0,1.41,0.03,1.53,0.11,12.26
0.100,0.100,3,0.0,0.81,0.01,1.16,0.04,2.92
0.100,0.100,3,0.2,0.80,0.01,1.15,0.04,11.10
0.100,0.100,3,0.4,0.81,0.01,1.16,0.04,19.53
0.100,0.100,3,0.6,0.83,0.01,1.17,0.04,41.58
0.100,0.100,3,0.8,0.86,0.01,1.19,0.05,78.49
0.100,0.100,3,1.0,0.96,0.02,1.29,0.06,94.64
0.100,0.100,4,0.0,0.81,0.01,1.16,0.04,2.95
0.100,0.100,4,0.2,0.74,0.01,1.20,0.05,68.00
0.100,0.100,4,0.4,0.72,0.01,1.23,0.06,149.17
0.100,0.100,4,0.6,0.71,0.01,1.27,0.07,199.22
0.100,0.100,4,0.8,0.70,0.02,1.30,0.06,350.08
0.100,0.100,4,1.0,0.71,0.02,1.35,0.06,6093.66
