g_p,g_r,d,rho,eps,C,mean_train,std_train,mean_test,std_test,time,sv_ratio
0.100,1.000,4,0.6,0.1,1.00,0.737,0.011,0.762,0.055,2.34,0.90
1.000,1.000,2,0.6,0.1,1.00,0.729,0.011,0.763,0.051,1.65,0.91
0.500,0.500,2,0.6,0.1,10.00,0.710,0.013,0.764,0.053,1.69,0.92
0.100,1.000,1,0.6,0.1,1.00,0.737,0.012,0.764,0.056,1.61,0.90
0.500,1.000,1,0.6,0.1,1.00,0.740,0.012,0.768,0.059,1.66,0.90
1.000,0.500,2,0.6,0.1,10.00,0.705,0.013,0.771,0.053,1.95,0.92
1.000,1.000,1,0.6,0.1,1.00,0.743,0.012,0.772,0.060,1.69,0.91
0.100,0.500,3,0.8,0.1,10.00,0.739,0.012,0.773,0.056,2.38,0.90
0.100,0.500,4,0.8,0.1,10.00,0.740,0.012,0.774,0.056,2.38,0.90
0.100,0.500,2,0.8,0.1,10.00,0.738,0.011,0.774,0.056,1.73,0.91
0.500,0.500,2,0.8,0.1,10.00,0.726,0.013,0.775,0.054,1.76,0.92
0.100,0.500,1,0.8,0.1,10.00,0.742,0.012,0.777,0.057,1.72,0.91
0.500,0.500,1,0.8,0.1,10.00,0.744,0.012,0.781,0.059,1.75,0.91
1.000,0.500,1,0.8,0.1,10.00,0.745,0.012,0.782,0.059,1.79,0.91
1.000,1.000,3,0.8,0.1,1.00,0.746,0.010,0.783,0.064,2.27,0.91
1.000,0.500,2,0.8,0.1,10.00,0.719,0.013,0.785,0.054,1.83,0.92
0.500,1.000,2,0.8,0.1,1.00,0.766,0.012,0.788,0.053,1.62,0.90
1.000,0.500,3,0.2,0.1,1.00,0.762,0.011,0.792,0.063,2.22,0.91
1.000,1.000,2,0.8,0.1,1.00,0.761,0.011,0.792,0.053,1.66,0.91
0.500,1.000,3,0.8,0.1,1.00,0.768,0.012,0.792,0.059,2.25,0.91
1.000,0.500,2,0.2,0.1,1.00,0.766,0.012,0.793,0.058,1.78,0.91
0.100,0.500,1,0.0,0.1,1.00,0.769,0.012,0.795,0.060,1.74,0.91
0.100,0.500,2,0.0,0.1,1.00,0.769,0.012,0.795,0.060,1.75,0.91
0.100,0.500,3,0.0,0.1,1.00,0.769,0.012,0.795,0.060,2.19,0.91
0.100,0.500,4,0.0,0.1,1.00,0.769,0.012,0.795,0.060,2.21,0.91
0.500,0.500,1,0.0,0.1,1.00,0.769,0.012,0.795,0.060,1.71,0.91
0.500,0.500,2,0.0,0.1,1.00,0.769,0.012,0.795,0.060,1.68,0.91
0.500,0.500,3,0.0,0.1,1.00,0.769,0.012,0.795,0.060,2.20,0.91
0.500,0.500,4,0.0,0.1,1.00,0.769,0.012,0.795,0.060,2.16,0.91
1.000,0.500,1,0.0,0.1,1.00,0.769,0.012,0.795,0.060,1.72,0.91
1.000,0.500,2,0.0,0.1,1.00,0.769,0.012,0.795,0.060,1.70,0.91
