g_p,g_r,d,rho,eps,C,mean_train,std_train,mean_test,std_test,time,sv_ratio
0.100,0.100,4,0.2,0.1,1.00,0.801,0.011,0.906,0.045,4.32,0.93
0.100,0.100,3,0.1,0.1,100.00,0.475,0.012,0.906,0.048,17.81,0.93
0.100,0.100,2,0.3,0.1,1.00,0.825,0.012,0.907,0.048,2.80,0.93
0.100,0.100,3,0.2,0.1,100.00,0.480,0.012,0.907,0.050,18.77,0.92
0.100,0.010,3,0.2,0.1,10.00,0.807,0.012,0.908,0.054,4.17,0.93
0.100,0.100,3,0.3,0.1,100.00,0.487,0.012,0.909,0.051,23.65,0.92
0.100,0.010,1,0.1,0.1,100.00,0.831,0.012,0.909,0.047,3.95,0.93
0.100,0.100,5,0.9,0.1,10.00,0.612,0.007,0.910,0.044,6.79,0.93
0.010,0.010,3,0.7,0.1,100.00,0.848,0.013,0.910,0.054,2.68,0.93
0.100,0.100,4,0.3,0.1,1.00,0.800,0.011,0.910,0.047,4.34,0.93
0.010,0.100,1,0.7,0.1,1.00,0.865,0.008,0.910,0.041,2.40,0.93
0.010,0.100,3,0.2,0.1,1.00,0.831,0.009,0.910,0.043,3.70,0.92
0.010,0.100,2,0.2,0.1,1.00,0.831,0.009,0.910,0.043,2.48,0.92
0.100,0.100,3,0.4,0.1,100.00,0.496,0.012,0.910,0.053,23.23,0.92
0.010,0.100,4,0.2,0.1,1.00,0.831,0.009,0.910,0.043,3.79,0.92
0.010,0.100,5,0.2,0.1,1.00,0.831,0.009,0.910,0.043,2.44,0.92
0.010,0.010,3,0.6,0.1,100.00,0.845,0.013,0.910,0.054,2.59,0.92
0.100,0.010,1,0.2,0.1,100.00,0.834,0.011,0.910,0.047,4.45,0.93
0.100,0.010,3,0.1,0.1,100.00,0.727,0.008,0.910,0.041,7.80,0.93
0.010,0.010,3,0.5,0.1,100.00,0.842,0.012,0.910,0.053,2.70,0.93
0.010,0.010,3,0.8,0.1,100.00,0.855,0.013,0.910,0.055,2.57,0.92
0.100,0.100,5,0.5,0.1,1.00,0.786,0.012,0.911,0.051,4.36,0.92
0.010,0.010,3,0.1,0.1,100.00,0.835,0.012,0.911,0.051,3.21,0.93
0.100,0.100,2,0.4,0.1,1.00,0.831,0.012,0.911,0.050,2.73,0.93
0.010,0.010,3,0.2,0.1,100.00,0.836,0.012,0.911,0.051,3.46,0.93
0.010,0.010,3,0.3,0.1,100.00,0.838,0.012,0.911,0.052,2.82,0.93
0.100,0.010,1,0.3,0.1,100.00,0.838,0.011,0.911,0.048,4.98,0.93
0.010,0.010,3,0.4,0.1,100.00,0.840,0.012,0.911,0.052,2.83,0.93
0.010,0.010,1,0.1,0.1,100.00,0.836,0.011,0.912,0.050,3.50,0.93
0.100,0.100,3,0.5,0.1,100.00,0.506,0.012,0.913,0.053,26.33,0.91
0.010,0.010,4,0.1,0.1,100.00,0.837,0.012,0.913,0.051,2.97,0.93
0.100,0.100,3,0.5,0.1,1.00,0.817,0.011,0.913,0.049,4.23,0.93
0.010,0.010,5,0.1,0.1,100.00,0.838,0.012,0.913,0.051,3.10,0.93
0.010,0.010,1,0.2,0.1,100.00,0.840,0.012,0.913,0.050,3.28,0.93
0.010,0.010,2,0.1,0.1,100.00,0.837,0.012,0.913,0.050,2.84,0.93
0.100,0.010,1,0.4,0.1,100.00,0.843,0.011,0.914,0.049,6.14,0.93
0.100,0.010,5,0.2,0.1,10.00,0.738,0.011,0.914,0.064,4.83,0.92
0.100,0.010,3,0.2,0.1,100.00,0.714,0.007,0.914,0.037,10.89,0.92
0.100,0.100,1,0.7,0.1,1.00,0.867,0.008,0.914,0.049,2.74,0.92
0.010,0.010,4,0.2,0.1,100.00,0.842,0.012,0.915,0.052,3.00,0.93
0.010,0.100,3,0.3,0.1,1.00,0.840,0.010,0.915,0.043,3.62,0.92
0.010,0.100,2,0.3,0.1,1.00,0.840,0.010,0.915,0.043,2.49,0.92
0.010,0.010,1,0.3,0.1,100.00,0.843,0.012,0.915,0.051,2.93,0.93
0.010,0.100,5,0.3,0.1,1.00,0.840,0.010,0.915,0.043,2.46,0.92
0.010,0.100,4,0.3,0.1,1.00,0.840,0.010,0.915,0.043,3.75,0.92
0.010,0.010,5,0.2,0.1,100.00,0.843,0.012,0.915,0.052,3.07,0.93
0.100,0.010,3,0.3,0.1,10.00,0.804,0.012,0.915,0.052,4.47,0.92
0.100,0.100,4,0.4,0.1,1.00,0.801,0.011,0.916,0.048,4.29,0.93
0.100,0.010,4,0.2,0.1,100.00,0.645,0.014,0.916,0.040,15.70,0.93
0.100,0.100,2,0.5,0.1,1.00,0.839,0.012,0.916,0.053,2.79,0.93
0.010,0.010,2,0.2,0.1,100.00,0.842,0.012,0.916,0.051,2.54,0.93
0.010,0.010,4,0.3,0.1,100.00,0.847,0.012,0.917,0.053,2.97,0.93
0.100,0.010,1,0.5,0.1,100.00,0.850,0.011,0.917,0.052,6.77,0.93
0.100,0.100,2,0.9,0.1,10.00,0.786,0.009,0.917,0.045,4.12,0.93
0.010,0.010,1,0.4,0.1,100.00,0.848,0.012,0.917,0.053,3.12,0.93
0.100,0.100,3,0.6,0.1,100.00,0.520,0.012,0.917,0.053,26.42,0.91
0.010,0.010,5,0.3,0.1,100.00,0.848,0.012,0.918,0.053,3.02,0.93
0.100,0.100,4,0.1,0.1,100.00,0.461,0.013,0.918,0.042,17.45,0.92
0.010,0.010,2,0.3,0.1,100.00,0.847,0.012,0.919,0.052,2.30,0.93
0.010,0.010,4,0.4,0.1,100.00,0.852,0.012,0.919,0.055,2.88,0.93
0.010,0.010,1,0.5,0.1,100.00,0.855,0.012,0.919,0.054,2.98,0.93
0.100,0.010,3,0.3,0.1,100.00,0.707,0.006,0.919,0.034,14.71,0.93
0.100,0.010,1,0.6,0.1,100.00,0.860,0.012,0.919,0.053,7.39,0.93
0.010,0.100,3,0.4,0.1,1.00,0.851,0.010,0.920,0.042,3.90,0.92
0.010,0.100,2,0.4,0.1,1.00,0.850,0.010,0.920,0.042,2.71,0.92
0.010,0.010,5,0.4,0.1,100.00,0.853,0.012,0.920,0.055,2.93,0.93
0.100,0.100,3,0.7,0.1,100.00,0.537,0.012,0.920,0.052,26.35,0.92
0.010,0.100,5,0.4,0.1,1.00,0.851,0.010,0.921,0.042,2.45,0.92
0.010,0.100,4,0.4,0.1,1.00,0.851,0.010,0.921,0.042,3.36,0.92
0.100,0.100,4,0.5,0.1,1.00,0.805,0.011,0.921,0.052,4.37,0.93
0.010,0.010,3,0.9,0.1,100.00,0.871,0.013,0.921,0.058,2.54,0.92
0.010,0.010,1,0.6,0.1,100.00,0.864,0.012,0.921,0.055,2.68,0.93
0.100,0.100,5,0.6,0.1,1.00,0.795,0.012,0.922,0.051,4.01,0.92
0.100,0.100,3,0.8,0.1,100.00,0.560,0.013,0.922,0.052,27.33,0.92
0.010,0.010,4,0.5,0.1,100.00,0.859,0.012,0.922,0.057,2.71,0.93
0.010,0.010,2,0.4,0.1,100.00,0.852,0.012,0.923,0.054,2.36,0.93
0.100,0.100,2,0.6,0.1,1.00,0.850,0.012,0.923,0.057,2.73,0.93
0.010,0.010,5,0.5,0.1,100.00,0.861,0.012,0.923,0.056,2.87,0.93
0.100,0.010,5,0.1,0.1,100.00,0.611,0.009,0.923,0.039,12.45,0.93
0.100,0.100,3,0.9,0.1,100.00,0.596,0.012,0.925,0.043,32.81,0.93
0.100,0.010,5,0.3,0.1,10.00,0.722,0.010,0.925,0.066,5.44,0.92
0.100,0.100,3,0.6,0.1,1.00,0.830,0.010,0.925,0.057,4.46,0.92
0.100,0.010,3,0.4,0.1,100.00,0.702,0.006,0.925,0.034,18.44,0.93
0.010,0.010,4,0.6,0.1,100.00,0.868,0.013,0.925,0.058,2.69,0.92
0.010,0.010,5,0.6,0.1,100.00,0.870,0.013,0.926,0.057,2.67,0.92
0.100,0.010,3,0.4,0.1,10.00,0.805,0.011,0.927,0.054,4.47,0.92
0.010,0.010,2,0.5,0.1,100.00,0.858,0.012,0.927,0.057,2.16,0.93
0.100,0.100,4,0.6,0.1,1.00,0.812,0.012,0.927,0.056,4.49,0.93
0.100,0.100,4,0.2,0.1,100.00,0.457,0.013,0.928,0.041,21.25,0.92
0.100,0.010,1,0.7,0.1,100.00,0.874,0.012,0.928,0.058,8.12,0.92
0.010,0.100,2,0.5,0.1,1.00,0.864,0.011,0.929,0.042,2.53,0.92
0.010,0.010,1,0.7,0.1,100.00,0.877,0.012,0.929,0.058,2.14,0.93
0.010,0.100,3,0.5,0.1,1.00,0.865,0.011,0.929,0.042,3.95,0.92
0.010,0.100,4,0.5,0.1,1.00,0.866,0.011,0.930,0.042,3.15,0.92
0.010,0.100,5,0.5,0.1,1.00,0.866,0.011,0.930,0.042,2.51,0.92
0.100,0.010,3,0.5,0.1,100.00,0.700,0.006,0.931,0.032,23.34,0.92
0.100,0.010,2,0.1,0.1,100.00,0.827,0.011,0.932,0.056,6.23,0.92
0.010,0.010,2,0.6,0.1,100.00,0.866,0.013,0.932,0.059,2.03,0.93
0.010,0.010,4,0.7,0.1,100.00,0.881,0.013,0.933,0.060,2.70,0.92
