,units,layers,learning_rate,activation_function,lambda_reg,mean_val_loss,std_val_loss
230,4,4,0.1,leakyrelu,0.005,1.6580807447433472,0.1611408441406245
231,1,1,0.01,leakyrelu,0.0,3.000174570083618,0.06726193803264614
232,4,4,0.01,leakyrelu,1e-05,1.3242228031158447,0.04151621501946334
233,4,4,0.1,leakyrelu,0.01,1.8444813728332519,0.12745070163648103
234,1,1,0.01,leakyrelu,1e-05,3.0093767642974854,0.0704708753460853
235,1,5,0.01,elu,0.0001,3.0583149909973146,0.1316507937084111
236,1,1,0.01,leakyrelu,0.0001,3.008128309249878,0.06035483857012735
237,4,2,0.0001,relu,0.0,2.8934309244155885,2.507329235749451
238,4,4,0.01,leakyrelu,0.0001,1.3487539529800414,0.08316732727050563
239,4,3,0.0001,relu,0.0,1.3618147850036622,0.09428005008964298
240,4,4,0.0001,relu,1e-05,1.6633852243423461,0.6410315997838121
241,4,4,0.01,leakyrelu,0.001,1.4260593414306642,0.08236776860819346
242,1,3,0.0001,relu,0.0,6.968730640411377,2.045095995050981
243,4,5,0.001,elu,1e-05,1.2389707803726195,0.08160279581768538
244,1,1,0.01,leakyrelu,0.001,3.0256484031677244,0.06464481813527566
245,1,5,0.01,elu,0.001,4.803957939147949,2.113837092470432
246,1,2,0.001,elu,0.005,3.933364677429199,1.808811843598775
247,4,4,0.01,leakyrelu,0.005,1.4507054328918456,0.1366834762819101
248,1,1,0.01,leakyrelu,0.005,3.0950570583343504,0.09103246129649752
249,1,5,0.01,elu,0.005,5.555015325546265,1.898896178900865
250,4,4,0.01,leakyrelu,0.01,1.5828707218170166,0.05430917436113927
251,4,4,0.1,relu,0.0,4.255618071556091,2.610768067813046
252,4,5,0.001,elu,0.0001,1.5592694520950316,0.6888493904540651
253,1,1,0.01,leakyrelu,0.01,3.1227407932281492,0.016580627023885425
254,4,4,0.1,relu,1e-05,1.555500316619873,0.1895982328356631
255,1,1,0.1,relu,0.0,3.0255276203155517,0.0457953012093224
256,4,4,0.1,relu,0.0001,5.061185503005982,2.739211636065029
257,1,1,0.1,relu,1e-05,3.111463785171509,0.13901360684740602
258,4,4,0.1,relu,0.001,2.7181132793426515,2.408139892574375
259,1,1,0.1,relu,0.0001,3.962384557723999,1.7930880498138326
260,1,5,0.01,elu,0.01,4.025214290618896,1.7589781469592813
261,1,1,0.1,relu,0.001,3.925500249862671,1.8101941162991309
262,4,4,0.1,relu,0.005,3.500114417076111,1.951287307225231
263,4,1,0.001,elu,0.01,1.6454911947250366,0.12984031174016308
264,1,1,0.1,relu,0.005,3.1231555938720703,0.10303952559619259
265,1,1,0.1,relu,0.01,3.995476007461548,1.6145481739663483
266,1,5,0.01,leakyrelu,0.0,3.0129652976989747,0.07178299253791201
267,4,4,0.1,relu,0.01,4.1326782464981076,2.6136882377932187
268,4,3,0.0001,elu,0.001,1.350938868522644,0.09824883483864313
269,1,1,0.1,elu,0.0,3.073028039932251,0.08321246839922361
270,4,4,0.1,elu,0.0,1.8374725818634032,0.6601075530892718
271,1,1,0.1,elu,1e-05,3.031325340270996,0.06404040060195455
272,1,2,0.001,elu,0.01,3.0686861515045165,0.08165973631429943
273,4,4,0.1,elu,1e-05,1.5020267248153687,0.1884265621080116
274,1,5,0.01,leakyrelu,1e-05,3.0133200168609617,0.07483154693548581
275,1,1,0.1,elu,0.0001,3.0873326778411867,0.05492158949691094
276,1,4,0.0001,relu,0.0,8.113836288452148,0.3147317374458105
277,4,5,0.001,elu,0.001,1.2903952598571777,0.08176100137649796
278,4,4,0.1,elu,0.0001,1.5106136798858643,0.22412118730928435
279,1,1,0.1,elu,0.001,3.0447234153747558,0.08955504308063857
280,1,5,0.01,leakyrelu,0.0001,3.015591526031494,0.07276711839337754
281,4,4,0.1,elu,0.001,1.5764956951141358,0.16918065444908517
282,4,5,0.1,relu,0.0001,2.466028642654419,0.5963599218601101
283,1,5,0.01,leakyrelu,0.001,3.0235086917877196,0.07506248402013734
284,4,5,0.1,relu,0.001,3.2211947202682496,2.0544598256306386
285,4,5,0.1,relu,0.005,3.046405291557312,2.0755720823642614
286,1,5,0.01,leakyrelu,0.005,3.0967992305755616,0.07868084387590552
287,1,1,0.0001,relu,1e-05,3.006900930404663,0.07192743176358865
288,4,5,0.1,relu,0.01,1.9328989505767822,0.49604804066484326
289,1,2,0.001,leakyrelu,0.0,2.9998382091522218,0.07002093004437943
290,4,5,0.1,elu,0.0,2.742474889755249,2.195448014964017
291,1,4,0.0001,elu,0.001,5.590507936477661,2.163140054983259
292,1,5,0.01,leakyrelu,0.01,3.2652321815490724,0.07503630410345036
293,4,5,0.1,elu,1e-05,1.7352713823318482,0.2540589282312099
294,1,5,0.1,relu,0.0,7.196778106689453,0.185111965168749
295,4,1,0.001,leakyrelu,0.0,1.4704036712646484,0.16131453778378876
296,4,2,0.0001,leakyrelu,0.01,1.6344623804092406,0.09438017464446789
297,1,5,0.1,relu,1e-05,6.327535772323609,1.5667666518367152
298,4,5,0.1,elu,0.0001,1.5535747289657593,0.22496539060416312
299,1,5,0.1,relu,0.0001,5.593118572235108,2.0936078476898095
300,4,5,0.1,elu,0.001,1.5734994411468506,0.1028688074239107
301,1,5,0.1,relu,0.001,5.552694177627563,2.108814195530251
302,4,5,0.001,elu,0.005,1.7281956434249879,0.6441296131638192
303,4,5,0.1,elu,0.005,1.6903987407684327,0.11865207146197729
304,1,5,0.1,relu,0.005,6.396119117736816,1.6366721615073923
305,4,5,0.1,elu,0.01,1.7674682140350342,0.1592792416783547
306,1,5,0.1,relu,0.01,6.42285122871399,1.6563733311052895
307,4,1,0.0001,relu,1e-05,1.4715658187866212,0.1690501862659219
308,4,5,0.1,leakyrelu,0.0,1.5039769649505614,0.1239196475000112
309,1,3,0.0001,leakyrelu,0.01,3.2492009162902833,0.09965800719080505
310,1,2,0.001,leakyrelu,1e-05,3.000495100021362,0.06836543366499089
311,1,5,0.1,elu,0.0,5.715999460220337,1.9300870393651435
312,4,2,0.001,relu,0.0,1.466841220855713,0.08907458760501637
313,1,5,0.1,elu,1e-05,6.444414663314819,1.5659583792352938
314,4,5,0.1,leakyrelu,1e-05,1.573340392112732,0.14476517343930087
315,1,5,0.1,elu,0.0001,5.591115951538086,2.0706122745104683
