,units,layers,learning_rate,activation_function,lambda_reg,reg_type,mean_tr_loss,std_tr_loss,mean_val_loss,std_val_loss
1116,16,2,0.1,leakyrelu,0.001,ridge,1.5731006622314454,0.048328511114231996,1.4869592189788818,0.11187387603939983
1117,8,3,0.001,leakyrelu,0.01,lasso,1.6250240087509156,0.10709902355231103,1.6885225296020507,0.12623160038419087
1118,2,2,0.0001,elu,0.01,ridge,2.473917007446289,0.7197006447934955,2.44492130279541,0.8040289940453857
1119,8,3,0.0001,elu,0.1,lasso,3.3891196727752684,0.08924630518591817,3.418078660964966,0.08775396809576898
1120,16,2,0.1,leakyrelu,0.01,lasso,1.8242282629013062,0.07627309830159452,1.844568634033203,0.13578253099544926
1121,2,2,0.001,leakyrelu,1e-05,ridge,1.6853554487228393,0.06936035745091047,1.7265803337097168,0.1971078956774843
1122,16,2,0.01,leakyrelu,0.0001,lasso,1.1799316883087159,0.03689449197484953,1.3532101392745972,0.0532630162699135
1123,16,2,0.001,relu,0.01,lasso,1.5707841873168946,0.05175300539205141,1.6442432165145875,0.05868482909843524
1124,16,2,0.1,leakyrelu,0.01,ridge,1.734662938117981,0.028403618150437838,1.765991735458374,0.07332262767272564
1125,2,5,0.001,leakyrelu,0.0,lasso,2.075332498550415,0.6188180882462546,2.152618408203125,0.6257901872487523
1126,2,1,0.01,relu,1e-05,ridge,1.6695799350738525,0.08105956563406029,1.677606964111328,0.1786630040581855
1127,16,1,0.001,elu,0.0001,ridge,1.1562684059143067,0.02980004617148596,1.2584664344787597,0.0892639910144305
1128,8,1,0.0001,relu,1e-05,ridge,1.285750937461853,0.028287936213178693,1.349019503593445,0.07724059310212444
1129,16,2,0.1,leakyrelu,0.1,lasso,3.7142186164855957,0.06635838648866925,3.808701229095459,0.21386281355022568
1130,8,4,0.001,elu,0.01,ridge,1.4196424722671508,0.020905673423361477,1.485001230239868,0.07494676155324685
1131,16,2,0.01,leakyrelu,0.0001,ridge,1.1695233106613159,0.05249422007045135,1.3013805627822876,0.08370310683534374
1132,16,2,0.0001,relu,0.0,ridge,1.086175298690796,0.06054218259400795,1.218046736717224,0.049783984837250515
1133,16,2,0.1,leakyrelu,0.1,ridge,2.973279857635498,0.03508733021514903,3.040236568450928,0.25309864056313613
1134,2,1,0.01,relu,0.0001,lasso,1.7212556600570679,0.08906837381072652,1.753493070602417,0.21511703592225695
