,units,layers,learning_rate,activation_function,lambda_reg,mean_tr_loss,std_tr_loss,mean_val_loss,std_val_loss
2151,128,5,0.1,leakyrelu,0.001,1.5927069902420044,0.1600011632677585,1.7150681495666504,0.24215564648156152
2152,4,3,0.0001,elu,0.1,3.2607054710388184,0.4267774004252164,3.278399610519409,0.3912678956036497
2153,128,2,0.0001,elu,0.0,1.0812824368476868,0.04570502064192373,1.1780842781066894,0.060325547111943434
2154,32,2,0.0001,elu,0.5,5.948173713684082,0.03375557190692807,5.961006164550781,0.1255337729972599
2155,128,4,0.001,leakyrelu,0.5,6.861059856414795,0.056621320605216775,6.850888729095459,0.10407990448647142
2156,128,4,0.0001,leakyrelu,0.0001,0.9220532774925232,0.07526820225743573,1.224604845046997,0.05793133157845873
2157,4,1,0.0001,leakyrelu,1e-05,1.529506468772888,0.22909536171051398,1.5673313856124877,0.13492722989893605
2158,32,2,0.0001,leakyrelu,0.0001,1.149956965446472,0.03357507825283164,1.2639904499053956,0.07095178284916363
2159,128,2,0.0001,leakyrelu,0.01,1.4553575038909912,0.022746945670841505,1.5445100784301757,0.07664657636149107
2160,4,5,0.0001,relu,1e-05,1.6135412454605103,0.6289227994382152,1.6619779586791992,0.6344677282158426
2161,128,5,0.001,elu,0.01,1.4864894151687622,0.04463717194688218,1.5428600788116456,0.10121694287667865
2162,4,4,0.0001,elu,0.0,1.2184184312820434,0.01847535965447677,1.2868701457977294,0.07366855481437899
2163,32,4,0.0001,elu,1e-05,1.0422929048538208,0.022871814400609872,1.176713228225708,0.0445025526519634
2164,128,5,0.0001,leakyrelu,0.0001,0.915022075176239,0.04908527203813624,1.2557788610458374,0.06484378958163566
2165,128,4,0.0001,relu,0.5,6.859220314025879,0.04279150149262705,6.877267456054687,0.11808828943428568
2166,32,4,0.0001,elu,0.5,6.854112529754639,0.037505851297649835,6.860637092590332,0.11653299130052419
2167,128,2,0.0001,relu,1e-05,0.8692325592041016,0.07446805703675012,1.1950273752212524,0.04607473153802299
